pota,jaff,name,location,locid,type,level,namek,lat,lng
JA-1812,,Tokyo Port Wild Bird Park,Tokyo,JP-TK,Provincial Park,0,東京港野鳥公園,35.58392545,139.7609929
JA-1276,,Higashifushimi,Tokyo,JP-TK,Provincial Park,0,東伏見公園,35.728673,139.557443
JA-1804,,Higashi Yashio Greenway,Tokyo,JP-TK,Provincial Park,0,東八潮緑道公園,35.61930363,139.7715374
JA-1248,,Higashi Shirahige,Tokyo,JP-TK,Provincial Park,0,東白鬚公園,35.733583,139.814045
JA-1127,,Higashimachi Sports,Ibaraki,JP-IB,Provincial Park,0,東町運動公園,36.38064,140.449246
JA-1279,,Higashiyamato Minami,Tokyo,JP-TK,Provincial Park,0,東大和南公園,35.734544,139.422215
JA-1278,,Higashiyamato,Tokyo,JP-TK,Provincial Park,0,東大和公園,35.755437,139.432139
JA-1277,,Higashimurayama Chuo,Tokyo,JP-TK,Provincial Park,0,東村山中央公園,35.747605,139.459328
JA-1468,,Higashi-mikawa Furusato,Aichi,JP-AI,Provincial Park,0,東三河ふるさと公園,34.838661,137.308383
JA-1306,,Higashitakane Shinrin,Kanagawa,JP-KN,Provincial Park,0,東高根森林公園,35.604328,139.586632
JA-1699,,Higashi,Fukuoka,JP-FO,Provincial Park,0,東公園,33.60581,130.420238
JA-1585,,Lake Togo Hawai Seaside,Tottori,JP-TT,Provincial Park,0,東郷湖羽合臨海公園,35.491894,133.885614
JA-1825,,Tokai Greenway,Tokyo,JP-TK,Provincial Park,0,東海緑道公園,35.57718905,139.7593608
JA-1820,,Tokai Port Park,Tokyo,JP-TK,Provincial Park,0,東海ふ頭公園,35.57771582,139.7557697
JA-1247,,Higashi Ayase,Tokyo,JP-TK,Provincial Park,0,東綾瀬公園,35.771049,139.831091
JA-1102,,Azumagaoka,Fukushima,JP-FS,Provincial Park,0,東ヶ丘公園,37.631268,140.969359
JA-1602,,Manyo,Shimane,JP-SM,Provincial Park,0,島根県立万葉公園,34.67903,131.81429
JA-1600,,Hamayama,Shimane,JP-SM,Provincial Park,0,島根県立浜山公園,35.378817,132.706568
JA-1601,,Iwami Seaside,Shimane,JP-SM,Provincial Park,0,島根県立石見海浜公園,34.957866,132.144141
JA-1363,,Shimami Ryokuchi,Niigata,JP-NI,Provincial Park,0,島見緑地,37.970311,139.206426
JA-1684,,Tosa Seinan Daikibo,Kochi,JP-KC,Provincial Park,0,土佐西南大規模公園,33.024227,133.016165
JA-1724,,Tabira,Nagasaki,JP-NS,Provincial Park,0,田平公園,33.35435,129.575855
JA-1215,,Tonogayato Gardens,Tokyo,JP-TK,Provincial Park,0,殿ヶ谷戸庭園,35.698632,139.481894
JA-1703,,Tenjin Chuo,Fukuoka,JP-FO,Provincial Park,0,天神中央公園,33.590293,130.402839
JA-1502,,Amanohashidate,Kyoto,JP-KY,Provincial Park,0,天橋立公園,35.564301,135.188276
JA-1314,,Tsujido Kaihin,Kanagawa,JP-KN,Provincial Park,0,辻堂海浜公園,35.320914,139.448184
JA-1313,,Tsukuiko Shiroyama,Kanagawa,JP-KN,Provincial Park,0,津久井湖城山公園,35.582014,139.281654
JA-1362,,Toyanogata,Niigata,JP-NI,Provincial Park,0,鳥屋野潟公園,37.880242,139.041595
JA-1525,,Nagano,Osaka,JP-OS,Provincial Park,0,長野公園,34.447857,135.573895
JA-1347,,Nagano Sports,Nagano,JP-NN,Provincial Park,0,長野運動公園,36.659137,138.23217
JA-1200,,Chosei no mori,Chiba,JP-CH,Provincial Park,0,長生の森公園,35.454669,140.266898
JA-1272,,Naganuma,Tokyo,JP-TK,Provincial Park,0,長沼公園,35.638237,139.36825
JA-1726,,Nagasaki Sogo Undo,Nagasaki,JP-NS,Provincial Park,0,長崎県立総合運動公園,32.836629,130.040366
JA-1863,,Choukai-no-mori,Yamagata,JP-YT,Provincial Park,0,眺海の森,38.859316,139.980388
JA-1234,,Shiokaze,Tokyo,JP-TK,Provincial Park,0,潮風公園,35.623833,139.768871
JA-1462,,Asamiya,Aichi,JP-AI,Provincial Park,0,朝宮公園,35.255614,136.9594
JA-1246,,Nakagawa,Tokyo,JP-TK,Provincial Park,0,中川公園,35.77526,139.845679
JA-1784,,Nakagusu,Okinawa,JP-ON,Provincial Park,0,中城公園,26.288104,127.792713
JA-1079,,Nakayama,Yamagata,JP-YT,Provincial Park,0,中山公園,38.342052,140.26705
JA-1067,,Akita Prefectural Central,Akita,JP-AK,Provincial Park,0,中央公園,39.623056,140.204167
JA-1704,,Central,Fukuoka,JP-FO,Provincial Park,0,中央公園,33.876196,130.838849
JA-1834,,Chichibu Muse Park,Saitama,JP-ST,Provincial Park,0,秩父ミューズパーク,35.99621,139.05463
JA-1706,,Chikuho Ryokuchi,Fukuoka,JP-FO,Provincial Park,0,筑豊緑地,33.658053,130.747979
JA-1707,,Chikugo Regional,Fukuoka,JP-FO,Provincial Park,0,筑後広域公園,33.177692,130.493039
JA-1693,,Ike,Kochi,JP-KC,Provincial Park,0,池公園,33.524634,133.589469
JA-1539,,Awajishima,Hyogo,JP-HG,Provincial Park,0,淡路島公園,34.575972,135.006861
JA-1552,,Ball Park Awaji,Hyogo,JP-HG,Provincial Park,0,淡路佐野運動公園,34.454396,134.929358
JA-1414,,Tannan Sogo,Fukui,JP-FI,Provincial Park,0,丹南総合公園,35.928795,136.153525
JA-1503,,Tango Eco-Future,Kyoto,JP-KY,Provincial Park,0,丹後海と星の見える丘公園,35.623204,135.235962
JA-1769,,Taniyama Ryokuchi,Kagoshima,JP-KS,Provincial Park,0,谷山緑地,31.522655,130.524275
JA-1808,,Tatsumi Greenway,Tokyo,JP-TK,Provincial Park,0,辰巳の森緑道公園,35.64567979,139.8133472
JA-1806,,Tatsumi Seaside Park,Tokyo,JP-TK,Provincial Park,0,辰巳の森海浜公園,35.64952459,139.8134437
JA-1550,,Tajima Bokujyo,Hyogo,JP-HG,Provincial Park,0,但馬牧場公園,35.516477,134.4879
JA-1041,,Takizawa Forest,Iwate,JP-IW,Provincial Park,0,滝沢森林公園,39.80666,141.137691
JA-1270,,Takiyama,Tokyo,JP-TK,Provincial Park,0,滝山公園（滝山城跡）,35.701576,139.327843
JA-1288,,Ogamiyama,Tokyo,JP-TK,Provincial Park,0,大神山公園,27.093873,142.192363
JA-1559,,Obuchiike,Nara,JP-NR,Provincial Park,0,大渕池公園,34.707999,135.746527
JA-1404,,Onominato Ryokuchi,Ishikawa,JP-IS,Provincial Park,0,大野湊緑地公園,36.595728,136.597654
JA-1885,,Oita Agricultural Park,Oita,JP-OT,Provincial Park,0,大分農業文化公園,33.433113,131.429775
JA-1883,,Oita Prefecture Museum of Hi,Oita,JP-OT,Provincial Park,0,大分県歴史博物館・風土記の丘,33.541989,131.360942
JA-1884,,Oita Kenmin no Mori,Oita,JP-OT,Provincial Park,0,大分県県民の森,33.159425,131.547164
JA-1746,,Oita Sports,Oita,JP-OT,Provincial Park,0,大分スポーツ公園,33.200823,131.656512
JA-1479,,Daibutsuyama,Mie,JP-ME,Provincial Park,0,大仏山公園,34.516909,136.65354
JA-1225,,Ojima Komatsugawa,Tokyo,JP-TK,Provincial Park,0,大島小松川公園,35.692843,139.850133
JA-1830,,Oshima Park,Tokyo,JP-TK,Provincial Park,0,大島公園,34.76130325,139.4342788
JA-1117,,Oarai,Ibaraki,JP-IB,Provincial Park,0,大洗公園,36.325659,140.593093
JA-1513,,Oizumi Ryokuchi,Osaka,JP-OS,Provincial Park,0,大泉緑地,34.564448,135.527753
JA-1224,,Oizumi-Chuo,Tokyo,JP-TK,Provincial Park,0,大泉中央公園,35.775027,139.599008
JA-1748,,Osu Sogo Comrehensive Athle,Oita,JP-OT,Provincial Park,0,大洲総合運動公園,33.251262,131.627999
JA-1121,,Daigo Koiki,Ibaraki,JP-IB,Provincial Park,0,大子広域公園,36.791523,140.350326
JA-1702,,Ohori,Fukuoka,JP-FO,Provincial Park,0,大濠公園,33.586071,130.376413
JA-1460,,Odaka Ryokuchi,Aichi,JP-AI,Provincial Park,0,大高緑地（ディノアドベンチャー名古屋）,35.060194,136.956092
JA-1261,,Oto,Tokyo,JP-TK,Provincial Park,0,大戸緑地,35.615196,139.284591
JA-1773,,Osumi Koiki,Kagoshima,JP-KS,Provincial Park,0,大隅広域公園,31.29421,130.919119
JA-1840,,Omiya Daini Park,Saitama,JP-ST,Provincial Park,0,大宮第二公園,35.91855,139.64007
JA-1841,,Omiya Daisan Park,Saitama,JP-ST,Provincial Park,0,大宮第三公園,35.91459,139.64138
JA-1158,,Omiya,Saitama,JP-ST,Provincial Park,0,大宮公園,35.918685,139.631387
JA-1297,,Oiso Joyama,Kanagawa,JP-KN,Provincial Park,0,大磯城山公園,35.304913,139.290204
JA-1824,,Oi Greenway,Tokyo,JP-TK,Provincial Park,0,大井ふ頭緑道公園,35.59965954,139.7545868
JA-1813,,Oi Central Seaside Park,Tokyo,JP-TK,Provincial Park,0,大井ふ頭中央海浜公園,35.59342661,139.7501799
JA-1242,,Daiba,Tokyo,JP-TK,Provincial Park,0,台場公園,35.633577,139.771808
JA-1255,,Yoyogi,Tokyo,JP-TK,Provincial Park,0,代々木公園,35.671606,139.695994
JA-1325,,Tataranuma,Gumma,JP-GM,Provincial Park,0,多々良沼公園,36.257753,139.503991
JA-1831,,Takowan Park,Tokyo,JP-TK,Provincial Park,0,多幸湾公園,34.20391009,139.1522945
JA-1082,,Zao Miharashi no Oka Museu,Yamagata,JP-YT,Provincial Park,0,蔵王みはらしの丘・ミュージアムパーク,38.187853,140.294941
JA-1450,,Kusanagi Sports Complex,Shizuoka,JP-SZ,Provincial Park,0,草薙総合運動場,34.989022,138.429283
JA-1300,,Sagami Sansen,Kanagawa,JP-KN,Provincial Park,0,相模三川公園,35.459214,139.380625
JA-1305,,Sagamiko,Kanagawa,JP-KN,Provincial Park,0,相模湖公園,35.612494,139.190943
JA-1315,,Sagamihara,Kanagawa,JP-KN,Provincial Park,0,相模原公園,35.531216,139.387167
JA-1612,,Kurashiki Sports,Okayama,JP-OY,Provincial Park,0,倉敷スポーツ公園,34.619293,133.804502
JA-1241,,Soshigaya,Tokyo,JP-TK,Provincial Park,0,祖師谷公園,35.654557,139.599299
JA-1239,,Zenpukujigawa,Tokyo,JP-TK,Provincial Park,0,善福寺川緑地,35.690567,139.63245
JA-1240,,Zenpukuji,Tokyo,JP-TK,Provincial Park,0,善福寺公園,35.714567,139.591252
JA-1269,,Sengenyama,Tokyo,JP-TK,Provincial Park,0,浅間山公園,35.680018,139.500331
JA-1527,,Izumisano Kyuryo Ryokuchi,Osaka,JP-OS,Provincial Park,0,泉佐野丘陵緑地,34.367389,135.331471
JA-1174,,Kawagoe Aquatic,Saitama,JP-ST,Provincial Park,0,川越水上公園,35.913369,139.450497
JA-1192,,Chiba Central Sports Center,Chiba,JP-CH,Provincial Park,0,千葉県総合スポーツセンター,35.65034,140.126419
JA-1054,,Sendaiko Tagajo Chiku Kansh,Miyagi,JP-MG,Provincial Park,0,仙台港多賀城地区緩衝緑地,38.289536,141.032979
JA-1868,,Rinkuu-kouen,Miyagi,JP-MG,Provincial Park,0,仙台空港臨空公園,38.136107,140.899835
JA-1220,,Akatsuka,Tokyo,JP-TK,Provincial Park,0,赤塚公園,35.784811,139.657017
JA-1544,,Ako Seaside,Hyogo,JP-HG,Provincial Park,0,赤穂海浜公園,34.733778,134.396722
JA-1846,,Akagi Forest Park,Gumma,JP-GM,Provincial Park,0,赤城森林公園,36.5051,139.15494
JA-1237,,Shakujii,Tokyo,JP-TK,Provincial Park,0,石神井公園,35.738318,139.598772
JA-1512,,Ishikawa Kasen,Osaka,JP-OS,Provincial Park,0,石川河川公園,34.545785,135.618656
JA-1774,,Ishibashi Kinen,Kagoshima,JP-KS,Provincial Park,0,石橋記念公園,31.604005,130.568074
JA-1449,,Shizuoka Pre. Forest,Shizuoka,JP-SZ,Provincial Park,0,静岡県立森林公園,34.846129,137.781901
JA-1191,,Aobanomori,Chiba,JP-CH,Provincial Park,0,青葉の森公園,35.59645,140.141469
JA-1032,,Ashino,Aomori,JP-AO,Provincial Park,0,青森県立芦野公園,40.914069,140.451398
JA-1219,,Aoyama,Tokyo,JP-TK,Provincial Park,0,青山公園,35.663328,139.724426
JA-1797,,Aomi Greenway,Tokyo,JP-TK,Provincial Park,0,青海緑道公園,35.62136502,139.7797194
JA-1794,,Aomi-Kita Port Park,Tokyo,JP-TK,Provincial Park,0,青海北ふ頭公園,35.61908797,139.7741666
JA-1795,,Aomi-Minami Port Park,Tokyo,JP-TK,Provincial Park,0,青海南ふ頭公園,35.61435197,139.777192
JA-1798,,Aomi-Chuou Port Park,Tokyo,JP-TK,Provincial Park,0,青海中央ふ頭公園,35.62078422,139.7802776
JA-1397,,Seibu Ryokuchi,Ishikawa,JP-IS,Provincial Park,0,西部緑地公園,36.575131,136.602914
JA-1077,,Nishizao,Yamagata,JP-YT,Provincial Park,0,西蔵王公園,38.205,140.355278
JA-1701,,Nishi,Fukuoka,JP-FO,Provincial Park,0,西公園,33.598129,130.374796
JA-1725,,Saikaibashi,Nagasaki,JP-NS,Provincial Park,0,西海橋公園,33.051157,129.758073
JA-1541,,Nishi-Harima Astronomical O,Hyogo,JP-HG,Provincial Park,0,西はりま天文台公園,35.025319,134.335799
JA-1365,,Seiro Ryokuchi,Niigata,JP-NI,Provincial Park,0,聖籠緑地,37.995845,139.257724
JA-1213,,Kiyosumi Gardens,Tokyo,JP-TK,Provincial Park,0,清澄庭園,35.680663,139.797286
JA-1735,,Minamata Koiki,Kumamoto,JP-KM,Provincial Park,0,水俣広域公園,32.201629,130.37901
JA-1613,,Mizushima Ryokuchi,Okayama,JP-OY,Provincial Park,0,水島緑地,34.531501,133.768182
JA-1251,,Mizumoto,Tokyo,JP-TK,Provincial Park,0,水元公園,35.786885,139.869776
JA-1799,,Mizu-no-Hiroba Park,Tokyo,JP-TK,Provincial Park,0,水の広場公園,35.62775328,139.7875725
JA-1772,,Fukiagehama Kaihin,Kagoshima,JP-KS,Provincial Park,0,吹上浜海浜公園,31.436456,130.2826
JA-1520,,Fukakita Ryokuchi,Osaka,JP-OS,Provincial Park,0,深北緑地,34.726237,135.628855
JA-1836,,Shinrinkoen Park Walking Roa,Saitama,JP-ST,Provincial Park,0,森林公園緑道,36.04709,139.37549
JA-1716,,Shinrin,Saga,JP-SG,Provincial Park,0,森林公園,33.240164,130.249129
JA-1810,,Shin-kiba Greenway,Tokyo,JP-TK,Provincial Park,0,新木場緑道公園,35.64012919,139.8405686
JA-1807,,Shin-kiba Park,Tokyo,JP-TK,Provincial Park,0,新木場公園,35.64207019,139.823443
JA-1031,,New Aomori Prefectural Sport,Aomori,JP-AO,Provincial Park,0,新青森県総合運動公園,40.842766,140.840843
JA-1463,,Shinshiro General,Aichi,JP-AI,Provincial Park,0,新城総合公園,34.937128,137.542081
JA-1835,,Niiza Greenway Park,Saitama,JP-ST,Provincial Park,0,新座緑道,35.77787,139.59213
JA-1368,,Ogata Mizu to Mori,Niigata,JP-NI,Provincial Park,0,新潟県立大潟水と森公園,37.230943,138.349798
JA-1366,,Niigata Prefectural Botanical,Niigata,JP-NI,Provincial Park,0,新潟県立植物園,37.760661,139.112749
JA-1361,,Niigata Prefectural Sports Par,Niigata,JP-NI,Provincial Park,0,新潟県スポーツ公園,37.88429,139.06237
JA-1510,,Neyagawa,Osaka,JP-OS,Provincial Park,0,寝屋川公園,34.76128,135.652261
JA-1238,,Johoku-Chuo,Tokyo,JP-TK,Provincial Park,0,城北中央公園,35.7566,139.673483
JA-1826,,Jonanjima Greenway,Tokyo,JP-TK,Provincial Park,0,城南島緑道公園,35.57937959,139.7813086
JA-1814,,Jonanjima Seaside Park,Tokyo,JP-TK,Provincial Park,0,城南島海浜公園,35.58007774,139.7857052
JA-1817,,Jonanjima Port Park,Tokyo,JP-TK,Provincial Park,0,城南島ふ頭公園,35.5791062,139.7728363
JA-1298,,Jogashima,Kanagawa,JP-KN,Provincial Park,0,城ケ島公園,35.131554,139.624649
JA-1221,,Ueno,Tokyo,JP-TK,Provincial Park,0,上野恩賜公園,35.715511,139.773759
JA-1160,,Ageo Undo,Saitama,JP-ST,Provincial Park,0,上尾運動公園,35.968358,139.602304
JA-1302,,Shonan Shiomidai,Kanagawa,JP-KN,Provincial Park,0,湘南汐見台公園,35.321821,139.437946
JA-1311,,Shonan Kaigan,Kanagawa,JP-KN,Provincial Park,0,湘南海岸公園 （藤沢市）,35.313582,139.474199
JA-1876,,Numanouchi Bosai Ryokuchi,Fukushima,JP-FS,Provincial Park,0,沼ノ内防災緑地,37.013458,140.973945
JA-1341,,Matsumotodaira Koiki,Nagano,JP-NN,Provincial Park,0,松本平広域公園,36.168182,137.924798
JA-1396,,Matto,Ishikawa,JP-IS,Provincial Park,0,松任海浜公園,36.539606,136.532661
JA-1052,,Matsushima Koen,Miyagi,JP-MG,Provincial Park,0,松島公園,38.366117,141.061333
JA-1085,,Shonai Kuko Kansho Ryokuchi,Yamagata,JP-YT,Provincial Park,0,庄内空港緩衝緑地,38.816024,139.792162
JA-1829,,Komine Park,Tokyo,JP-TK,Provincial Park,0,小峰公園,35.71973047,139.2299596
JA-1461,,Obata Ryokuchi,Aichi,JP-AI,Provincial Park,0,小幡緑地,35.219631,136.988161
JA-1069,,Koizumigata,Akita,JP-AK,Provincial Park,0,小泉潟公園,39.81361,140.069785
JA-1214,,Koishikawa-Korakuen Garden,Tokyo,JP-TK,Provincial Park,0,小石川後楽園,35.705358,139.749504
JA-1328,,Kose Sports,Yamanashi,JP-YN,Provincial Park,0,小瀬スポーツ公園,35.622182,138.587392
JA-1262,,Oyamadairi,Tokyo,JP-TK,Provincial Park,0,小山内裏公園,35.606167,139.367768
JA-1263,,Oyamada,Tokyo,JP-TK,Provincial Park,0,小山田緑地,35.597613,139.417105
JA-1855,,Oneyama Bird Forest Park,Gumma,JP-GM,Provincial Park,0,小根山森林公園 野鳥の森,36.35241,138.73756
JA-1264,,Koganei,Tokyo,JP-TK,Provincial Park,0,小金井公園,35.716351,139.5177
JA-1265,,Komiya,Tokyo,JP-TK,Provincial Park,0,小宮公園,35.673141,139.340276
JA-1451,,Ogasayama Sports,Shizuoka,JP-SZ,Provincial Park,0,小笠山総合運動公園,34.743865,137.969237
JA-1180,,Tokorozawa Aviation Memorial,Saitama,JP-ST,Provincial Park,0,所沢航空記念公園,35.797552,139.474473
JA-1683,,Haruno Athletic Recreation,Kochi,JP-KC,Provincial Park,0,春野総合運動公園,33.510322,133.501585
JA-1490,,Kasugayama,Shiga,JP-SH,Provincial Park,0,春日山公園,35.122649,135.905143
JA-1705,,Kasuga,Fukuoka,JP-FO,Provincial Park,0,春日公園,33.526966,130.469997
JA-1803,,Harumibashi Park,Tokyo,JP-TK,Provincial Park,0,春海橋公園,35.65711352,139.7907146
JA-1621,,Shukkeien Garden,Hiroshima,JP-HS,Provincial Park,0,縮景園,34.399749,132.467361
JA-1522,,Suminoe,Osaka,JP-OS,Provincial Park,0,住之江公園,34.611301,135.475576
JA-1523,,Sumiyoshi,Osaka,JP-OS,Provincial Park,0,住吉公園,34.612413,135.488269
JA-1259,,Akirudai,Tokyo,JP-TK,Provincial Park,0,秋留台公園,35.730258,139.30005
JA-1839,,Akigase Greenway Park,Saitama,JP-ST,Provincial Park,0,秋ヶ瀬緑道,35.85252,139.63383
JA-1157,,Akigase,Saitama,JP-ST,Provincial Park,0,秋ヶ瀬公園,35.849944,139.602328
JA-1786,,Shurijo Castle,Okinawa,JP-ON,Provincial Park,0,首里城公園,26.218257,127.71513
JA-1689,,Tanezaki Sensho,Kochi,JP-KC,Provincial Park,0,種崎千松公園,33.503577,133.569801
JA-1398,,Tedori,Ishikawa,JP-IS,Provincial Park,0,手取公園,36.484717,136.479101
JA-1196,,Teganuma Shizen Fureai Gree,Chiba,JP-CH,Provincial Park,0,手賀沼自然ふれあい緑道,35.857243,140.04051
JA-1345,,Wakasato,Nagano,JP-NN,Provincial Park,0,若里公園,36.634709,138.187971
JA-1811,,Wakasu Seaside Park,Tokyo,JP-TK,Provincial Park,0,若洲海浜公園,35.61336814,139.8357291
JA-1411,,Wakasa Sogo,Fukui,JP-FI,Provincial Park,0,若狭総合公園,35.515904,135.756045
JA-1406,,Wakasa no Sato,Fukui,JP-FI,Provincial Park,0,若狭の里公園,35.48399,135.786228
JA-1244,,Toneri,Tokyo,JP-TK,Provincial Park,0,舎人公園,35.797,139.771798
JA-1236,,Shiba,Tokyo,JP-TK,Provincial Park,0,芝公園,35.654854,139.747856
JA-1822,,Shibaura Minami Port Park,Tokyo,JP-TK,Provincial Park,0,芝浦南ふ頭公園,35.63695783,139.7601495
JA-1235,,Shinozaki,Tokyo,JP-TK,Provincial Park,0,篠崎公園,35.715613,139.898368
JA-1856,,Shinohara Garen,Kanagawa,JP-KN,Provincial Park,0,篠原園地,35.49129,139.62626
JA-1682,,Muroto Koiki,Kochi,JP-KC,Provincial Park,0,室戸広域公園,33.289079,134.171595
JA-1301,,Nanasawa Shinrin,Kanagawa,JP-KN,Provincial Park,0,七沢森林公園,35.447152,139.300817
JA-1120,,Kashimadana Sea Side,Ibaraki,JP-IB,Provincial Park,0,鹿島灘海浜公園,36.15049,140.57743
JA-1768,,Yoshino,Kagoshima,JP-KS,Provincial Park,0,鹿児島県立吉野公園,31.631802,130.593182
JA-1776,,Fureai Sports Land,Kagoshima,JP-KS,Provincial Park,0,鹿児島ふれあいスポーツランド,31.549336,130.490736
JA-1233,,Shioiri,Tokyo,JP-TK,Provincial Park,0,汐入公園,35.736347,139.809663
JA-1364,,Shiunji Kinen,Niigata,JP-NI,Provincial Park,0,紫雲寺記念公園,38.035887,139.297392
JA-1875,,YotsukuraBosai Ryokuchi,Fukushima,JP-FS,Provincial Park,0,四倉防災緑地,37.099095,140.987236
JA-1307,,Shikinomori,Kanagawa,JP-KN,Provincial Park,0,四季の森公園,35.502549,139.536143
JA-1329,,Atagoyama Kodomo no Kuni,Yamanashi,JP-YN,Provincial Park,0,山梨県立愛宕山こどもの国,35.672424,138.582347
JA-1332,,Flower Center Heidi's Village,Yamanashi,JP-YN,Provincial Park,0,山梨県立フラワーセンター ハイジの村,35.780885,138.463565
JA-1334,,Fujihokuroku,Yamanashi,JP-YN,Provincial Park,0,山梨県富士北麓公園,35.453977,138.768154
JA-1791,,Yamakita Tsuburano,Kanagawa,JP-KN,Provincial Park,0,山北つぶらの公園,35.3696599,139.0518487
JA-1518,,Yamadaike,Osaka,JP-OS,Provincial Park,0,山田池公園,34.821895,135.690573
JA-1631,,Yamaguchi Kirara Expo Memo,Yamaguchi,JP-YC,Provincial Park,0,山口きらら博記念公園,34.005003,131.371735
JA-1867,,Yamagata Nature Museum Pa,Yamagata,JP-YT,Provincial Park,0,山形県立自然博物園,38.504401,139.997857
JA-1076,,Yamagata Prefectural General,Yamagata,JP-YT,Provincial Park,0,山形県総合運動公園,38.336083,140.377139
JA-1416,,Sanrihama Kansho Ryokuchi,Fukui,JP-FI,Provincial Park,0,三里浜緩衝緑地,36.185693,136.134464
JA-1547,,Mikiyama Forest,Hyogo,JP-HG,Provincial Park,0,三木山森林公園,34.788224,134.989011
JA-1849,,Sakurayama Forest Park,Gumma,JP-GM,Provincial Park,0,桜山森林公園,36.16145,139.02116
JA-1266,,Sakuragaoka,Tokyo,JP-TK,Provincial Park,0,桜ヶ丘公園,35.639017,139.460674
JA-1843,,Saitamaken Agricultual and F,Saitama,JP-ST,Provincial Park,0,埼玉県農林公園,36.11225,139.28837
JA-1164,,Saitama Prefectural Forest,Saitama,JP-ST,Provincial Park,0,埼玉県県民の森,35.989452,139.157474
JA-1156,,Saitama Stadium 2002,Saitama,JP-ST,Provincial Park,0,埼玉スタジアム2002公園,35.902987,139.715406
JA-1403,,Saigawa Ryokuchi,Ishikawa,JP-IS,Provincial Park,0,犀川緑地,36.542899,136.670693
JA-1166,,Sainomori Iruma,Saitama,JP-ST,Provincial Park,0,彩の森入間公園,35.837606,139.399494
JA-1858,,Saino-Kuni Fureai Forest Park,Saitama,JP-ST,Provincial Park,0,彩の国ふれあいの森,35.99467,138.80075
JA-1081,,Mogami Central,Yamagata,JP-YT,Provincial Park,0,最上中央公園,38.760149,140.308472
JA-1080,,Mogamigawa Furusato Sogo,Yamagata,JP-YT,Provincial Park,0,最上川ふるさと総合公園,38.365201,140.262573
JA-1299,,Zama Yatoyama,Kanagawa,JP-KN,Provincial Park,0,座間谷戸山公園,35.486677,139.403976
JA-1123,,Sanuma Koiki,Ibaraki,JP-IB,Provincial Park,0,砂沼広域公園,36.189136,139.948073
JA-1715,,Sagajo,Saga,JP-SG,Provincial Park,0,佐賀城公園,33.244954,130.302994
